str,en_US,en,fr,it,de,nl,es,cy,ca,zh,
close,Close,Close,Fermer,Vicino,Schließen,Dichtbij,Cerca,Cau,,关闭,
enable_digital_keys_for_membership,Enable Digital Keys for membership,Enable Digital Keys for membership,Activer les clés numériques pour l'adhésion,Abilita le chiavi digitali per l'iscrizione,Digitale Schlüssel für die Mitgliedschaft aktivieren,Digitale sleutels inschakelen voor lidmaatschap,Habilitar claves digitales para la membresía,Galluogi Allweddi Digidol ar gyfer aelodaeth,,启用会员数字钥匙,
all_user_group,All User Group,All User Group,Tous les groupes d'utilisateurs,Tutti i gruppi di utenti,Alle Benutzergruppen,Alle gebruikersgroepen,Todos los grupos de usuarios,Pob Gr≈µp Defnyddwyr,,所有用户组,
create_new_membership,Create new Membership,Create new Membership,Créer une nouvelle adhésion,Crea una nuova iscrizione,Neue Mitgliedschaft erstellen,Nieuw lidmaatschap aanmaken,Crear nueva membresía,Creu Aelodaeth newydd,,创建新会员资格,
update_membership,Update Membership,Update Membership,Mettre à jour l'adhésion,Aggiorna l'iscrizione,Mitgliedschaft aktualisieren,Lidmaatschap bijwerken,Actualizar membresía,Diweddaru Aelodaeth,,更新会员资格,
record_not_found,record not found,record not found.,enregistrement non trouvé.,record non trovato.,Datensatz nicht gefunden.,record niet gevonden.,registro no encontrado,cofnod heb ei ddarganfod.,,未找到记录。,
select_locations,Select Locations,Select Locations,Sélectionner des emplacements,Seleziona le posizioni,Standorte auswählen,Selecteer locaties,Seleccione ubicaciones,Dewiswch Lleoliadau,,选择地点,
search_location,Search location,Search location,Emplacement de recherche,Cerca posizione,Suchort,Zoeklocatie,Ubicación de búsqueda,Chwilio lleoliad,,搜索位置,
monthly_and_yearly,Monthly and Yearly,Monthly and Yearly,Mensuel et annuel,Mensile e annuale,Monatlich und jährlich,Maandelijks en jaarlijks,Mensual y anual,Misol a Blynyddol,,每月和每年,
edit,Edit,Edit,Modifier,Modificare,Bearbeiten,Bewerking,Editar,Golygu,,编辑,
clone,Clone,Clone,Cloner,Clone,Klon,Kloon,Clon,Cl√¥n,,克隆,
deactivate,Deactivate,Deactivate,Désactiver,Disattivare,Deaktivieren,Deactiveren,Desactivar,Dadactifadu,,停用,
publish,Publish,Publish,Publier,Pubblicare,Veröffentlichen,Publiceren,Publicar,Cyhoeddi,,发布,
all_location,All Location,All Location,Tous les emplacements,Tutte le posizioni,Alle Standorte,Alle locaties,Todas las ubicaciones,Pob Lleoliad,,所有地点,
view,View,View,Voir,Visualizzazione,Sicht,Weergave,Vista,Golwg,,看法,
discount,Discount,Discount,Rabais,Sconto,Rabatt,Korting,Descuento,Gostyngiad,,折扣,
enter_a_description_string,Enter a description string,Enter a description string,Entrez une chaîne de description,Inserisci una stringa descrittiva,Geben Sie eine Beschreibungszeichenfolge ein,Voer een beschrijvingsreeks in,Introduzca una cadena de descripción,Rhowch linyn disgrifiad,,输入描述字符串,
check,check,check,vérifier,controllo,überprüfen,rekening,controlar,gwirio,,查看,
select,select,select,sélectionner,selezionare,wählen,selecteren,seleccionar,dewis,,选择,
total_payment_processed,Total Payment Processed,Total Payment Processed,Paiement total traité,Pagamento totale elaborato,Gesamtzahlung verarbeitet,Totaal verwerkte betaling,Pago total procesado,Cyfanswm Taliad wedi'i Brosesu,,已处理付款总额,
revenue_collected,Revenue Collected,Revenue Collected,Recettes collectées,Entrate raccolte,Erwirtschaftete Einnahmen,Ontvangen inkomsten,Ingresos recaudados,Refeniw a Gasglwyd,,收入,
total_vat_collected,Total taxes collected,Total VAT collected,Total de la TVA collectée,Totale IVA riscossa,Gesamte eingenommene Mehrwertsteuer,Totaal geïnde BTW,IVA total recaudado,Cyfanswm y TAW a gasglwyd,,增值税总额,
total_payments,Total Payments,Total Payments,Total des paiements,Pagamenti totali,Gesamtzahlungen,Totale betalingen,Pagos totales,Cyfanswm Taliadau,,总付款,
are_you_sure_you_want_cancel,"Are you sure, you want cancel?","Are you sure, you want cancel",Etes-vous sûr de vouloir annuler,Sei sicuro di voler annullare?,"Sind Sie sicher, dass Sie abbrechen möchten?",Weet u zeker dat u wilt annuleren?,¿Estás seguro que deseas cancelar?,"Ydych chi'n si≈µr, rydych chi eisiau canslo",,您确定要取消吗？,
vote,Vote,Vote,Voter,Votare,Abstimmung,Stemmen,Votar,Pleidlais,,投票,
no_answer,No answer,No answer,Pas de réponse,Nessuna risposta,Keine Antwort,Geen antwoord,No hay respuesta,Dim ateb,,没有答案,
option_selection,option_selection,option_selection,sélection_d'options,opzione_selezione,Optionsauswahl,optie_selectie,selección de opciones,dewis_dewis,,选项选择,
option_is_required,Option is required,Option is required,L'option est obligatoire,L'opzione è obbligatoria,Option ist erforderlich,Optie is vereist,La opción es obligatoria,Mae angen opsiwn,,必须选择,
please_add_two_options_at_least,Please add two options at least,Please add two options at least,Veuillez ajouter au moins deux options,Si prega di aggiungere almeno due opzioni,Bitte fügen Sie mindestens zwei Optionen hinzu,Voeg minimaal twee opties toe,Por favor agregue al menos dos opciones,Ychwanegwch ddau opsiwn o leiaf,,请至少添加两个选项,
no,No,No,Non,NO,NEIN,Nee,No,Nac ydw,,不,
yes,Yes,Yes,Oui,SÌ,Ja,Ja,Sí,Oes,,是的,
will_be_activate_for,will be active for,will be activate for,sera activé pour,sarà attivato per,wird aktiviert für,wordt geactiveerd voor,se activará para,yn cael ei actifadu ar gyfer,,将被激活,
audience_poll_question,Audience Poll Question,Audience Poll Question,Question du sondage d'audience,Domanda del sondaggio del pubblico,Frage zur Publikumsumfrage,Publiekspeilingvraag,Pregunta de la encuesta de audiencia,Cwestiwn P√¥l Cynulleidfa,,观众投票问题,
activate_instantly,Activate Instantly,Activate Instantly,Activer instantanément,Attiva istantaneamente,Sofort aktivieren,Direct activeren,Activar instantáneamente,Ysgogi ar unwaith,,立即激活,
all_pollspolls,"All,_polls,Polls","All,_polls,Polls","Tous,_sondages,Sondages","Tutti,_sondaggi,Sondaggi","Alle,_Umfragen,Umfragen","Alle,_polls,Peilingen","Todo,_encuestas,Encuestas","Pawb, _p√¥l, Etholiadau",,全部、_polls、民意调查,
members,Members,Members,Membres,Membri,Mitglieder,Leden,Miembros,Aelodau,,成员,
ok,ok,ok,d'accord,OK,OK,OK,OK,iawn,,好的,
festivals,Festivals,Festivals,Festivals,Festival,Festivals,Feesten,Festivales,Gwyliau,,节日,
search_events_by_name,Search Events by name,Search Events by name,Rechercher des événements par nom,Cerca eventi per nome,Suchen Sie nach Ereignissen nach Namen,Zoek evenementen op naam,Buscar eventos por nombre,Chwilio Digwyddiadau yn √¥l enw,,按名称搜索活动,
are_you_sure_you_want_to,"Are you sure, you want to","Are you sure, you want to",Etes-vous sûr de vouloir,Sei sicuro di volerlo?,"Sind Sie sicher, dass Sie",Weet je zeker dat je dat wilt?,¿Estás seguro que quieres?,"Ydych chi'n si≈µr, rydych chi eisiau",,你确定要,
something_went_wrong,Something went wrong,Something went wrong,Quelque chose s'est mal passé,Qualcosa è andato storto,Da ist etwas schiefgelaufen,Er is iets misgegaan,Algo salió mal,Aeth rhywbeth o'i le,,出了点问题,
accepted_on,Accepted On,Accepted On,Accepté le,Accettato il,Akzeptiert am,Geaccepteerd op,Aceptado el,Derbyniwyd Ar,,接受日期,
all,All,All,Tous,Tutto,Alle,Alle,Todo,Pawb,,全部,
issue_reporting,issue_reporting,issue_reporting,signalement_de_problèmes,segnalazione_problema,Problemberichterstattung,probleemrapportage,informe de problemas,adrodd_fater,,问题报告,
helpdesk,Helpdesk,Helpdesk,Service d'assistance,Servizio di assistenza,Helpdesk,Helpdesk,Mesa de ayuda,Desg gymorth,,帮助台,
search_by_keyword,Search by keyword,Search by keyword,Recherche par mot-clé,Cerca per parola chiave,Suche nach Stichwort,Zoeken op trefwoord,Buscar por palabra clave,Chwilio yn √¥l allweddair,,按关键字搜索,
marked_the_issue_as_completed,marked the issue as completed,marked the issue as completed,a marqué le problème comme terminé,ha contrassegnato il problema come completato,das Problem als erledigt markiert,markeerde het probleem als voltooid,marcó el problema como completado,nodi bod y mater wedi'i gwblhau,,将问题标记为已完成,
on_behalf_of,on behalf of,on behalf of,au nom de,per conto di,im Namen von,namens,a nombre de,ar ran,,代表,
waiting_to_be_assigned,Waiting to be assigned,Waiting to be assigned,En attente d'être affecté,In attesa di essere assegnato,Warten auf Zuweisung,Wacht op toewijzing,Esperando ser asignado,Aros i gael ei aseinio,,等待分配,
waiting_for_your_response,Waiting for your response,Waiting for your response,En attente de votre réponse,In attesa della tua risposta,Warten auf Ihre Antwort,Wacht op uw reactie,Esperando tu respuesta,Aros am eich ymateb,,等待您的回复,
no_image,No Image,No Image,Aucune image,Nessuna immagine,Kein Bild,Geen afbeelding,Sin imagen,Dim Delwedd,,无图像,
new_issue,New Issue,New Issue,Nouveau numéro,Nuovo numero,Neue Ausgabe,Nieuwe uitgave,Nueva edición,Rhifyn Newydd,,新问题,
urgent,Urgent,Urgent,Urgent,Urgente,Dringend,Dringend,Urgente,Brys,,紧迫的,
reported_by_customer,reported by customer,reported by customer,signalé par le client,segnalato dal cliente,vom Kunden gemeldet,gerapporteerd door klant,reportado por el cliente,adroddwyd gan y cwsmer,,客户报告,
no_chat_found,No Chat found,No Chat found,Aucune discussion trouvée,Nessuna chat trovata,Kein Chat gefunden,Geen chat gevonden,No se encontró ningún chat,Heb ganfod Sgwrs,,未找到聊天记录,
reported_issue_tickets,Reported Issue Tickets,Reported Issue Tickets,Tickets de problèmes signalés,Ticket di problemi segnalati,Gemeldete Problemtickets,Gerapporteerde probleemtickets,Tickets de problemas reportados,Tocynnau Rhifyn a Adroddwyd,,已报告问题票,
my_issues,My Issues,My Issues,Mes problèmes,I miei problemi,Meine Probleme,Mijn problemen,Mis problemas,Fy Materion,,我的问题,
date_should_be_in_range,Date should be in range,Date should be in range,La date doit être comprise dans la plage,La data dovrebbe essere compresa nell'intervallo,Das Datum sollte im Bereich liegen,Datum moet binnen het bereik vallen,La fecha debe estar dentro del rango,Dylai'r dyddiad fod o fewn yr ystod,,日期应在范围内,
marketplace_overview,Marketplace Overview,Marketplace Overview,Aperçu du marché,Panoramica del Marketplace,Marktplatzübersicht,Marktplaatsoverzicht,Descripción general del mercado,Trosolwg o'r Farchnad,,市场概述,
store,Store,Store,Magasin,Negozio,Speichern,Winkel,Almacenar,Storfa,,店铺,
png_jpeg_and_image_should_be_less_than_15_mb,"PNG, JPEG and Image should be upto 300 KB","PNG, JPEG and Image should be upto 300 KB","PNG, JPEG et Image doivent peser jusqu'à 300 Ko","PNG, JPEG e l'immagine devono essere fino a 300 KB","PNG, JPEG und Bild sollten bis zu 300 KB groß sein","PNG, JPEG en afbeelding moeten maximaal 300 KB groot zijn","PNG, JPEG y la imagen deben tener hasta 300 KB","Dylai PNG, JPEG a Delwedd fod yn llai na 15 MB",,PNG、JPEG 和图像最大尺寸应为 300 KB,
are_you_sure_you_want_to_reset_fields,"Are you sure, you want to reset fields","Are you sure, you want to reset fields",Etes-vous sûr de vouloir réinitialiser les champs,Sei sicuro di voler reimpostare i campi?,"Sind Sie sicher, dass Sie die Felder zurücksetzen möchten?",Weet u zeker dat u de velden wilt resetten?,¿Estás seguro de que deseas restablecer los campos?,"Ydych chi'n si≈µr, rydych chi am ailosod meysydd",,您确定要重置字段吗,
add_product,Add Product,Add Product,Ajouter un produit,Aggiungi prodotto,Produkt hinzufügen,Product toevoegen,Agregar producto,Ychwanegu Cynnyrch,,添加产品,
edit_product,Edit Product,Edit Product,Modifier le produit,Modifica prodotto,Produkt bearbeiten,Product bewerken,Editar producto,Golygu Cynnyrch,,编辑产品,
order_is_complete,Order Is Complete,Order Is Complete,La commande est terminée,L'ordine è completo,Bestellung abgeschlossen,Bestelling is voltooid,El pedido está completo,Gorchymyn yn Gyflawn,,订单已完成,
no_rooms_found_for_selected_date,No Rooms found for selected date,No Rooms found for selected date,Aucune chambre trouvée pour la date sélectionnée,Nessuna stanza trovata per la data selezionata,Für das ausgewählte Datum wurden keine Zimmer gefunden,Geen kamers gevonden voor de geselecteerde datum,No se encontraron habitaciones para la fecha seleccionada,Ni chanfuwyd unrhyw ystafelloedd ar gyfer y dyddiad a ddewiswyd,,未找到所选日期的房间,
past_booking_is_not_allowed,Past booking is not allowed,Past booking is not allowed,Les réservations passées ne sont pas autorisées,Non è consentita la prenotazione precedente,Eine frühere Buchung ist nicht zulässig.,Eerdere boekingen zijn niet toegestaan,No se permiten reservas previas,Ni chaniateir archebu lle yn y gorffennol,,不允许提前预订,
all_locations,All Locations,All Locations,Tous les emplacements,Tutte le località,Alle Standorte,Alle locaties,Todas las ubicaciones,Pob Lleoliad,,所有地点,
failed_to_book_update_your_slotplease_try_again,"Failed to book update your slot, Please try again","Failed to book update your slot,Please try again",Échec de la mise à jour de votre créneau horaire. Veuillez réessayer.,Impossibile prenotare l'aggiornamento del tuo slot. Riprova.,Fehler beim Buchen des Slot-Updates. Bitte versuchen Sie es erneut.,Het is niet gelukt om uw tijdslot te wijzigen. Probeer het opnieuw.,No se pudo reservar ni actualizar su espacio. Inténtelo nuevamente.,"Wedi methu archebu diweddaru eich slot, Ceisiwch eto",,无法预订更新您的时段，请重试,
failed_to_delete_your_bookingplease_try_again,"Failed to delete your Booking, Please try again","Failed to delete your Booking,Please try again","Échec de la suppression de votre réservation, veuillez réessayer",Impossibile eliminare la tua prenotazione. Riprova.,Ihre Buchung konnte nicht gelöscht werden. Bitte versuchen Sie es erneut.,Het verwijderen van uw boeking is mislukt. Probeer het opnieuw.,"No se pudo eliminar su reserva, inténtelo de nuevo","Wedi methu dileu eich Archeb, Ceisiwch eto",,无法删除您的预订，请重试,
failed_to_book_your_slotplease_try_again,"Failed to book your slot, Please try again","Failed to book your slot,Please try again","Impossible de réserver votre créneau horaire, veuillez réessayer",Impossibile prenotare il tuo posto. Riprova.,Fehler beim Buchen Ihres Slots. Bitte versuchen Sie es erneut.,Het is niet gelukt om uw tijdslot te reserveren. Probeer het opnieuw.,No se pudo reservar su espacio. Inténtelo nuevamente.,"Wedi methu archebu'ch slot, Ceisiwch eto",,未能预订您的时段，请重试,
unnamed_customer,Unnamed Customer,Unnamed Customer,Client anonyme,Cliente senza nome,Unbenannter Kunde,Onbenoemde klant,Cliente anónimo,Cwsmer Dienw,,未透露姓名的客户,
minutes,minutes,minutes,minutes,minuti,Minuten,notulen,minutos,munudau,,分钟,
estimated_delivery_time,Estimated delivery time,Estimated delivery time,Délai de livraison estimé,Tempo di consegna stimato,Geschätzte Lieferzeit,Geschatte levertijd,Tiempo estimado de entrega,Amser dosbarthu amcangyfrifedig,,预计送达时间,
change_est_delivery_time,Change Est. Delivery Time,Change Est. Delivery Time,Modifier le délai de livraison estimé,Modifica tempo di consegna stimato,Geschätzte Lieferzeit ändern,Wijzig geschatte levertijd,Cambiar el tiempo estimado de entrega,Newid Est. Amser Cyflenwi,,更改预计交货时间,
read_more_without_dots,Read More,Read More,En savoir plus,Per saperne di più,Mehr lesen,Lees meer,Leer más,Darllen Mwy,,阅读更多,
read_less_without_dots,Read Less,Read Less,Lire moins,Leggi di meno,Weniger anzeigen,Lees minder,Leer menos,Darllen Llai,,阅读更少,
reset,Reset,Reset,Réinitialiser,Reset,Zurücksetzen,Reset,Reiniciar,Ailosod,,重置,
showing_to_of_entries,Showing to of entries,Showing to of entries,Affichage des entrées,Visualizzazione di voci,Anzeige von Einträgen,Tonen van inzendingen,Mostrando hasta entradas,Yn dangos cofnodion,,显示条目数,
previous,Previous,Previous,Précédent,Precedente,Vorherige,Vorig,Anterior,Blaenorol,,以前的,
next,Next,Next,Suivant,Prossimo,Nächste,Volgende,Próximo,Nesaf,,下一个,
show,Show,Show,Montrer,Spettacolo,Zeigen,Show,Espectáculo,Sioe,,展示,
filter,Filter,Filter,Filtre,Filtro,Filter,Filter,Filtrar,Hidlo,,筛选,
entries,Entries,Entries,Entrées,voci,Einträge,Inzendingen,Entradas,Cofnodion,,条目,
add,add,add,ajouter,aggiungere,hinzufügen,toevoegen,agregar,ychwanegu,,添加,
add_booking,Add Booking,Add Booking,Ajouter une réservation,Aggiungi prenotazione,Buchung hinzufügen,Boeking toevoegen,Añadir reserva,Ychwanegu Archebu,,添加预订,
edit_booking,Edit Booking,Edit Booking,Modifier la réservation,Modifica prenotazione,Buchung bearbeiten,Boeking bewerken,Editar reserva,Golygu Archebu,,编辑预订,
time,Time,Time,Temps,Tempo,Zeit,Tijd,Tiempo,Amser,,时间,
booked_for_user,Booked for user,Booked for user,Réservé pour l'utilisateur,Prenotato per l'utente,Gebucht für Benutzer,Geboekt voor gebruiker,Reservado para el usuario,Wedi'i archebu ar gyfer defnyddiwr,,为用户预订,
enter_visitor_name,Enter Visitor Name,Enter Visitor Name,Entrez le nom du visiteur,Inserisci il nome del visitatore,Geben Sie den Besuchernamen ein,Voer de naam van de bezoeker in,Ingrese el nombre del visitante,Rhowch Enw'r Ymwelydd,,输入访客姓名,
book,Book,Book,Livre,Libro,Buch,Boek,Libro,Llyfr,,书,
update,Update,Update,Mise à jour,Aggiornamento,Aktualisieren,Update,Actualizar,Diweddariad,,更新,
please_select_visitor,Please select Visitor,Please select Visitor,Veuillez sélectionner Visiteur,Seleziona Visitatore,Bitte wählen Sie Besucher,Selecteer Bezoeker,Por favor seleccione Visitante,Dewiswch Ymwelydd,,请选择访客,
start_time_is_greater_or_less_then_room_slot,Start time is greater or less then room slot,Start time is greater or less then room slot,L'heure de début est supérieure ou inférieure au créneau horaire de la salle,L'orario di inizio è maggiore o minore dello slot della stanza,Die Startzeit liegt größer oder kleiner als der Raumzeitraum,De starttijd is groter of kleiner dan de kamertijd,La hora de inicio es mayor o menor que el horario de la habitación.,Mae amser cychwyn yn fwy neu'n llai na slot ystafell,,开始时间大于或小于房间时段,
end_time_is_greater_or_less_then_room_slot,End time is greater or less then room slot,End time is greater or less then room slot,L'heure de fin est supérieure ou inférieure à l'heure de la salle,L'orario di fine è maggiore o minore dello slot della stanza,Die Endzeit liegt größer oder kleiner als der Raumzeitraum,Eindtijd is groter of kleiner dan de kamertijd,La hora de finalización es mayor o menor que el espacio disponible en la habitación.,Mae amser gorffen yn fwy neu'n llai na slot ystafell,,结束时间大于或小于房间时段,
end_date_cant_be_before_start_date,End date cant be before start date,End date cant be before start date,La date de fin ne peut pas être antérieure à la date de début,La data di fine non può essere precedente alla data di inizio,Das Enddatum darf nicht vor dem Startdatum liegen,Einddatum kan niet vóór de startdatum liggen,La fecha de finalización no puede ser anterior a la fecha de inicio.,Ni all y dyddiad gorffen fod cyn y dyddiad dechrau,,结束日期不能早于开始日期,
booking_slot_mush_of_30_min_interval_,Booking slot must of 30 min interval .,Booking slot must of 30 min interval .,Le créneau de réservation doit être d'un intervalle de 30 minutes.,La fascia oraria di prenotazione deve essere di 30 minuti di intervallo.,Der Buchungszeitpunkt muss im Abstand von 30 Minuten liegen.,De reserveringstijd moet 30 minuten duren.,El intervalo de reserva debe ser de 30 minutos.,Smotiau slot archebu o egwyl o 30 munud .,,预订时段必须间隔 30 分钟。,
select_start_time,SELECT START TIME,SELECT START TIME,SÉLECTIONNER L'HEURE DE DÉBUT,SELEZIONA L'ORA DI INIZIO,STARTZEIT AUSWÄHLEN,SELECTEER STARTTIJD,SELECCIONAR HORA DE INICIO,DEWISWCH AMSER DECHRAU,,选择开始时间,
ok_start_time,OK START TIME,OK START TIME,OK HEURE DE DÉBUT,OK ORA DI INIZIO,OK STARTZEIT,OK STARTTIJD,OK HORA DE INICIO,AMSER DECHRAU Iawn,,好的开始时间,
this_slot_is_not_available_please_select_another_slot,This Slot is not available. Please select another Slot,This Slot is not available. Please select another Slot,Ce créneau n'est pas disponible. Veuillez en sélectionner un autre.,Questo slot non è disponibile. Seleziona un altro slot,Dieser Slot ist nicht verfügbar. Bitte wählen Sie einen anderen Slot,Deze sleuf is niet beschikbaar. Selecteer een andere sleuf.,Esta ranura no está disponible. Seleccione otra ranura.,Nid yw'r Slot hwn ar gael. Dewiswch Slot arall,,此插槽不可用。请选择其他插槽。,
